編號,A21-環北,A20-興南,A19-桃園體育園區,A18-高鐵桃園站,A17-領航,A16-橫山,A15-大園,A14a-機場旅館,A13-機場第二航廈,A12-機場第一航廈,A11-坑口,A10-山鼻,A9-林口,A8-長庚醫院,A7-體育大學,A6-泰山貴和,A5-泰山,A4-新莊副都心,A3-新北產業園區,A2-三重,A1-台北車站
001-NC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,05:58,06:00,06:03,06:08,06:14
002-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,05:58,--:--,--:--,--:--,--:--,06:11,--:--,06:20
003-NC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,05:59,06:03,06:10,06:13,06:15,06:18,06:23,06:29
004-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,05:57,05:59,--:--,--:--,--:--,06:12,--:--,--:--,--:--,--:--,06:26,--:--,06:35
005-NC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,05:59,06:07,06:14,06:18,06:25,06:28,06:30,06:33,06:38,06:44
006-NC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:00,06:04,06:07,06:11,06:13,06:21,06:28,06:32,06:39,06:42,06:44,06:47,06:52,06:58
007-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:10,06:13,--:--,--:--,--:--,06:26,--:--,--:--,--:--,--:--,06:41,--:--,06:50
008-NC,xxxxx,xxxxx,xxxxx,06:02,06:06,06:09,06:12,06:15,06:19,06:22,06:26,06:28,06:36,06:43,06:47,06:54,06:57,06:59,07:02,07:07,07:13
009-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:25,06:28,--:--,--:--,--:--,06:41,--:--,--:--,--:--,--:--,06:56,--:--,07:05
010-NC,06:05,06:08,06:13,06:17,06:21,06:24,06:27,06:30,06:34,06:37,06:41,06:43,06:51,06:58,07:02,07:09,07:12,07:14,07:17,07:22,07:28
011-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:40,06:43,--:--,--:--,--:--,06:56,--:--,--:--,--:--,--:--,07:11,--:--,07:20
012-NC,06:20,06:23,06:28,06:32,06:36,06:39,06:42,06:45,06:49,06:52,06:56,06:58,07:06,07:13,07:17,07:24,07:27,07:29,07:32,07:37,07:43
013-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:55,06:58,--:--,--:--,--:--,07:11,--:--,--:--,--:--,--:--,07:26,--:--,07:35
014-NC,06:35,06:38,06:43,06:47,06:51,06:54,06:57,07:00,07:04,07:07,07:11,07:13,07:21,07:28,07:32,07:39,07:42,07:44,07:47,07:52,07:58
015-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,07:10,07:13,--:--,--:--,--:--,07:26,--:--,--:--,--:--,--:--,07:41,--:--,07:50
016-NC,06:50,06:53,06:58,07:02,07:06,07:09,07:12,07:15,07:19,07:22,07:26,07:28,07:36,07:43,07:47,07:54,07:57,07:59,08:02,08:07,08:13
017-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,07:25,07:28,--:--,--:--,--:--,07:41,--:--,--:--,--:--,--:--,07:56,--:--,08:05
018-NC,07:05,07:08,07:13,07:17,07:21,07:24,07:27,07:30,07:34,07:37,07:41,07:43,07:51,07:58,08:02,08:09,08:12,08:14,08:17,08:22,08:28
019-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,07:40,07:43,--:--,--:--,--:--,07:56,--:--,--:--,--:--,--:--,08:11,--:--,08:20
020-NC,07:20,07:23,07:28,07:32,07:36,07:39,07:42,07:45,07:49,07:52,07:56,07:58,08:06,08:13,08:17,08:24,08:27,08:29,08:32,08:37,08:43
021-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,07:55,07:58,--:--,--:--,--:--,08:11,--:--,--:--,--:--,--:--,08:26,--:--,08:35
022-NC,07:35,07:38,07:43,07:47,07:51,07:54,07:57,08:00,08:04,08:07,08:11,08:13,08:21,08:28,08:32,08:39,08:42,08:44,08:47,08:52,08:58
023-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,08:10,08:13,--:--,--:--,--:--,08:26,--:--,--:--,--:--,--:--,08:41,--:--,08:50
024-NC,07:50,07:53,07:58,08:02,08:06,08:09,08:12,08:15,08:19,08:22,08:26,08:28,08:36,08:43,08:47,08:54,08:57,08:59,09:02,09:07,09:13
025-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,08:25,08:28,--:--,--:--,--:--,08:41,--:--,--:--,--:--,--:--,08:56,--:--,09:05
026-NC,08:05,08:08,08:13,08:17,08:21,08:24,08:27,08:30,08:34,08:37,08:41,08:43,08:51,08:58,09:02,09:09,09:12,09:14,09:17,09:22,09:28
027-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,08:40,08:43,--:--,--:--,--:--,08:56,--:--,--:--,--:--,--:--,09:11,--:--,09:20
028-NC,08:20,08:23,08:28,08:32,08:36,08:39,08:42,08:45,08:49,08:52,08:56,08:58,09:06,09:13,09:17,09:24,09:27,09:29,09:32,09:37,09:43
029-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,08:55,08:58,--:--,--:--,--:--,09:11,--:--,--:--,--:--,--:--,09:26,--:--,09:35
030-NC,08:35,08:38,08:43,08:47,08:51,08:54,08:57,09:00,09:04,09:07,09:11,09:13,09:21,09:28,09:32,09:39,09:42,09:44,09:47,09:52,09:58
031-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,09:10,09:13,--:--,--:--,--:--,09:26,--:--,--:--,--:--,--:--,09:41,--:--,09:50
032-NC,08:50,08:53,08:58,09:02,09:06,09:09,09:12,09:15,09:19,09:22,09:26,09:28,09:36,09:43,09:47,09:54,09:57,09:59,10:02,10:07,10:13
033-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,09:25,09:28,--:--,--:--,--:--,09:41,--:--,--:--,--:--,--:--,09:56,--:--,10:05
034-NC,09:05,09:08,09:13,09:17,09:21,09:24,09:27,09:30,09:34,09:37,09:41,09:43,09:51,09:58,10:02,10:09,10:12,10:14,10:17,10:22,10:28
035-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,09:40,09:43,--:--,--:--,--:--,09:56,--:--,--:--,--:--,--:--,10:11,--:--,10:20
036-NC,09:20,09:23,09:28,09:32,09:36,09:39,09:42,09:45,09:49,09:52,09:56,09:58,10:06,10:13,10:17,10:24,10:27,10:29,10:32,10:37,10:43
037-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,09:55,09:58,--:--,--:--,--:--,10:11,--:--,--:--,--:--,--:--,10:26,--:--,10:35
038-NC,09:35,09:38,09:43,09:47,09:51,09:54,09:57,10:00,10:04,10:07,10:11,10:13,10:21,10:28,10:32,10:39,10:42,10:44,10:47,10:52,10:58
039-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,10:10,10:13,--:--,--:--,--:--,10:26,--:--,--:--,--:--,--:--,10:41,--:--,10:50
040-NC,09:50,09:53,09:58,10:02,10:06,10:09,10:12,10:15,10:19,10:22,10:26,10:28,10:36,10:43,10:47,10:54,10:57,10:59,11:02,11:07,11:13
041-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,10:25,10:28,--:--,--:--,--:--,10:41,--:--,--:--,--:--,--:--,10:56,--:--,11:05
042-NC,10:05,10:08,10:13,10:17,10:21,10:24,10:27,10:30,10:34,10:37,10:41,10:43,10:51,10:58,11:02,11:09,11:12,11:14,11:17,11:22,11:28
043-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,10:40,10:43,--:--,--:--,--:--,10:56,--:--,--:--,--:--,--:--,11:11,--:--,11:20
044-NC,10:20,10:23,10:28,10:32,10:36,10:39,10:42,10:45,10:49,10:52,10:56,10:58,11:06,11:13,11:17,11:24,11:27,11:29,11:32,11:37,11:43
045-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,10:55,10:58,--:--,--:--,--:--,11:11,--:--,--:--,--:--,--:--,11:26,--:--,11:35
046-NC,10:35,10:38,10:43,10:47,10:51,10:54,10:57,11:00,11:04,11:07,11:11,11:13,11:21,11:28,11:32,11:39,11:42,11:44,11:47,11:52,11:58
047-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,11:10,11:13,--:--,--:--,--:--,11:26,--:--,--:--,--:--,--:--,11:41,--:--,11:50
048-NC,10:50,10:53,10:58,11:02,11:06,11:09,11:12,11:15,11:19,11:22,11:26,11:28,11:36,11:43,11:47,11:54,11:57,11:59,12:02,12:07,12:13
049-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,11:25,11:28,--:--,--:--,--:--,11:41,--:--,--:--,--:--,--:--,11:56,--:--,12:05
050-NC,11:05,11:08,11:13,11:17,11:21,11:24,11:27,11:30,11:34,11:37,11:41,11:43,11:51,11:58,12:02,12:09,12:12,12:14,12:17,12:22,12:28
051-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,11:40,11:43,--:--,--:--,--:--,11:56,--:--,--:--,--:--,--:--,12:11,--:--,12:20
052-NC,11:20,11:23,11:28,11:32,11:36,11:39,11:42,11:45,11:49,11:52,11:56,11:58,12:06,12:13,12:17,12:24,12:27,12:29,12:32,12:37,12:43
053-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,11:55,11:58,--:--,--:--,--:--,12:11,--:--,--:--,--:--,--:--,12:26,--:--,12:35
054-NC,11:35,11:38,11:43,11:47,11:51,11:54,11:57,12:00,12:04,12:07,12:11,12:13,12:21,12:28,12:32,12:39,12:42,12:44,12:47,12:52,12:58
055-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,12:10,12:13,--:--,--:--,--:--,12:26,--:--,--:--,--:--,--:--,12:41,--:--,12:50
056-NC,11:50,11:53,11:58,12:02,12:06,12:09,12:12,12:15,12:19,12:22,12:26,12:28,12:36,12:43,12:47,12:54,12:57,12:59,13:02,13:07,13:13
057-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,12:25,12:28,--:--,--:--,--:--,12:41,--:--,--:--,--:--,--:--,12:56,--:--,13:05
058-NC,12:05,12:08,12:13,12:17,12:21,12:24,12:27,12:30,12:34,12:37,12:41,12:43,12:51,12:58,13:02,13:09,13:12,13:14,13:17,13:22,13:28
059-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,12:40,12:43,--:--,--:--,--:--,12:56,--:--,--:--,--:--,--:--,13:11,--:--,13:20
060-NC,12:20,12:23,12:28,12:32,12:36,12:39,12:42,12:45,12:49,12:52,12:56,12:58,13:06,13:13,13:17,13:24,13:27,13:29,13:32,13:37,13:43
061-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,12:55,12:58,--:--,--:--,--:--,13:11,--:--,--:--,--:--,--:--,13:26,--:--,13:35
062-NC,12:35,12:38,12:43,12:47,12:51,12:54,12:57,13:00,13:04,13:07,13:11,13:13,13:21,13:28,13:32,13:39,13:42,13:44,13:47,13:52,13:58
063-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,13:10,13:13,--:--,--:--,--:--,13:26,--:--,--:--,--:--,--:--,13:41,--:--,13:50
064-NC,12:50,12:53,12:58,13:02,13:06,13:09,13:12,13:15,13:19,13:22,13:26,13:28,13:36,13:43,13:47,13:54,13:57,13:59,14:02,14:07,14:13
065-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,13:25,13:28,--:--,--:--,--:--,13:41,--:--,--:--,--:--,--:--,13:56,--:--,14:05
066-NC,13:05,13:08,13:13,13:17,13:21,13:24,13:27,13:30,13:34,13:37,13:41,13:43,13:51,13:58,14:02,14:09,14:12,14:14,14:17,14:22,14:28
067-NE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,13:40,13:43,--:--,--:--,--:--,13:56,--:--,--:--,--:--,--:--,14:11,--:--,14:20
