編號,A1-台北車站-開,A2-三重-到,A2-三重-開,A3-新北產業園區-到,A3-新北產業園區-開,A4-新莊副都心-到,A4-新莊副都心-開,A5-泰山-到,A5-泰山-開,A6-泰山貴和-到,A6-泰山貴和-開,A7-體育大學-到,A7-體育大學-開,A8-長庚醫院-到,A8-長庚醫院-開,A9-林口-到,A9-林口-開,A10-山鼻-到,A10-山鼻-開,A11-坑口-到,A11-坑口-開,A12-機場第一航廈-到,A12-機場第一航廈-開,A13-機場第二航廈-到,A13-機場第二航廈-開,A14a-機場旅館-到,A14a-機場旅館-開,A15-大園-到,A15-大園-開,A16-橫山-到,A16-橫山-開,A17-領航-到,A17-領航-開,A18-高鐵桃園站-到,A18-高鐵桃園站-開,A19-桃園體育園區-到,A19-桃園體育園區-開,A20-興南-到,A20-興南-開,A21-環北-到
001-SC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:02,06:04,06:05,06:09,06:10,06:14
002-SC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,05:57,05:59,06:00,06:03,06:03,06:06,06:06,06:09,06:09,06:12,06:12,06:17,06:17,06:19,06:20,06:24,06:25,06:29
003-SE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:07,06:09,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
004-SC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:05,06:07,06:08,06:11,06:12,06:14,06:15,06:18,06:18,06:21,06:21,06:24,06:24,06:27,06:27,06:32,06:32,06:34,06:35,06:39,06:40,06:44
005-SE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:06,--:--,--:--,--:--,--:--,--:--,--:--,06:20,06:22,06:24,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
006-SC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:00,06:05,06:08,06:10,06:11,06:20,06:20,06:22,06:23,06:26,06:27,06:29,06:30,06:33,06:33,06:36,06:36,06:39,06:39,06:42,06:42,06:47,06:47,06:49,06:50,06:54,06:55,06:59
007-SC,xxxxx,xxxxx,05:58,06:02,06:02,06:05,06:05,06:06,06:07,06:09,06:10,06:15,06:15,06:20,06:23,06:25,06:26,06:35,06:35,06:37,06:38,06:41,06:42,06:44,06:45,06:48,06:48,06:51,06:51,06:54,06:54,06:57,06:57,07:02,07:02,07:04,07:05,07:09,07:10,07:14
008-SE,06:00,--:--,--:--,06:08,06:09,--:--,--:--,--:--,--:--,--:--,--:--,--:--,--:--,06:21,06:21,--:--,--:--,--:--,--:--,--:--,--:--,06:35,06:37,06:39,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
009-SC,06:07,06:12,06:13,06:17,06:17,06:20,06:20,06:21,06:22,06:24,06:25,06:30,06:30,06:35,06:38,06:40,06:41,06:50,06:50,06:52,06:53,06:56,06:57,06:59,07:00,07:03,07:03,07:06,07:06,07:09,07:09,07:12,07:12,07:17,07:17,07:19,07:20,07:24,07:25,07:29
010-SE,06:15,--:--,--:--,06:23,06:24,--:--,--:--,--:--,--:--,--:--,--:--,--:--,--:--,06:36,06:36,--:--,--:--,--:--,--:--,--:--,--:--,06:50,06:52,06:54,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
011-SC,06:22,06:27,06:28,06:32,06:32,06:35,06:35,06:36,06:37,06:39,06:40,06:45,06:45,06:50,06:53,06:55,06:56,07:05,07:05,07:07,07:08,07:11,07:12,07:14,07:15,07:18,07:18,07:21,07:21,07:24,07:24,07:27,07:27,07:32,07:32,07:34,07:35,07:39,07:40,07:44
012-SE,06:30,--:--,--:--,06:38,06:39,--:--,--:--,--:--,--:--,--:--,--:--,--:--,--:--,06:51,06:51,--:--,--:--,--:--,--:--,--:--,--:--,07:05,07:07,07:09,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
013-SC,06:37,06:42,06:43,06:47,06:47,06:50,06:50,06:51,06:52,06:54,06:55,07:00,07:00,07:05,07:08,07:10,07:11,07:20,07:20,07:22,07:23,07:26,07:27,07:29,07:30,07:33,07:33,07:36,07:36,07:39,07:39,07:42,07:42,07:47,07:47,07:49,07:50,07:54,07:55,07:59
014-SE,06:45,--:--,--:--,06:53,06:54,--:--,--:--,--:--,--:--,--:--,--:--,--:--,--:--,07:06,07:06,--:--,--:--,--:--,--:--,--:--,--:--,07:20,07:22,07:24,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
015-SC,06:52,06:57,06:58,07:02,07:02,07:05,07:05,07:06,07:07,07:09,07:10,07:15,07:15,07:20,07:23,07:25,07:26,07:35,07:35,07:37,07:38,07:41,07:42,07:44,07:45,07:48,07:48,07:51,07:51,07:54,07:54,07:57,07:57,08:02,08:02,08:04,08:05,08:09,08:10,08:14
016-SE,07:00,--:--,--:--,07:08,07:09,--:--,--:--,--:--,--:--,--:--,--:--,--:--,--:--,07:21,07:21,--:--,--:--,--:--,--:--,--:--,--:--,07:35,07:37,07:39,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
017-SC,07:07,07:12,07:13,07:17,07:17,07:20,07:20,07:21,07:22,07:24,07:25,07:30,07:30,07:35,07:38,07:40,07:41,07:50,07:50,07:52,07:53,07:56,07:57,07:59,08:00,08:03,08:03,08:06,08:06,08:09,08:09,08:12,08:12,08:17,08:17,08:19,08:20,08:24,08:25,08:29
018-SE,07:15,--:--,--:--,07:23,07:24,--:--,--:--,--:--,--:--,--:--,--:--,--:--,--:--,07:36,07:36,--:--,--:--,--:--,--:--,--:--,--:--,07:50,07:52,07:54,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
019-SC,07:22,07:27,07:28,07:32,07:32,07:35,07:35,07:36,07:37,07:39,07:40,07:45,07:45,07:50,07:53,07:55,07:56,08:05,08:05,08:07,08:08,08:11,08:12,08:14,08:15,08:18,08:18,08:21,08:21,08:24,08:24,08:27,08:27,08:32,08:32,08:34,08:35,08:39,08:40,08:44
