編號,A1-台北車站,A2-三重,A3-新北產業園區,A4-新莊副都心,A5-泰山,A6-泰山貴和,A7-體育大學,A8-長庚醫院,A9-林口,A10-山鼻,A11-坑口,A12-機場第一航廈,A13-機場第二航廈,A14a-機場旅館,A15-大園,A16-橫山,A17-領航,A18-高鐵桃園站,A19-桃園體育園區,A20-興南,A21-環北
001-SC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:02,06:05,06:10,06:13
002-SC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,05:57,06:00,06:03,06:06,06:09,06:12,06:17,06:20,06:25,06:28
003-SE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:07,06:10,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
004-SC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:05,06:08,06:12,06:15,06:18,06:21,06:24,06:27,06:32,06:35,06:40,06:43
005-SE,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:06,--:--,--:--,--:--,06:22,06:25,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
006-SC,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,06:00,06:08,06:11,06:20,06:23,06:27,06:30,06:33,06:36,06:39,06:42,06:47,06:50,06:55,06:58
007-SC,xxxxx,05:58,06:02,06:05,06:07,06:10,06:15,06:23,06:26,06:35,06:38,06:42,06:45,06:48,06:51,06:54,06:57,07:02,07:05,07:10,07:13
008-SE,06:00,--:--,06:09,--:--,--:--,--:--,--:--,06:21,--:--,--:--,--:--,06:37,06:40,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
009-SC,06:07,06:13,06:17,06:20,06:22,06:25,06:30,06:38,06:41,06:50,06:53,06:57,07:00,07:03,07:06,07:09,07:12,07:17,07:20,07:25,07:28
010-SE,06:15,--:--,06:24,--:--,--:--,--:--,--:--,06:36,--:--,--:--,--:--,06:52,06:55,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
011-SC,06:22,06:28,06:32,06:35,06:37,06:40,06:45,06:53,06:56,07:05,07:08,07:12,07:15,07:18,07:21,07:24,07:27,07:32,07:35,07:40,07:43
012-SE,06:30,--:--,06:39,--:--,--:--,--:--,--:--,06:51,--:--,--:--,--:--,07:07,07:10,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
013-SC,06:37,06:43,06:47,06:50,06:52,06:55,07:00,07:08,07:11,07:20,07:23,07:27,07:30,07:33,07:36,07:39,07:42,07:47,07:50,07:55,07:58
014-SE,06:45,--:--,06:54,--:--,--:--,--:--,--:--,07:06,--:--,--:--,--:--,07:22,07:25,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
015-SC,06:52,06:58,07:02,07:05,07:07,07:10,07:15,07:23,07:26,07:35,07:38,07:42,07:45,07:48,07:51,07:54,07:57,08:02,08:05,08:10,08:13
016-SE,07:00,--:--,07:09,--:--,--:--,--:--,--:--,07:21,--:--,--:--,--:--,07:37,07:40,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
017-SC,07:07,07:13,07:17,07:20,07:22,07:25,07:30,07:38,07:41,07:50,07:53,07:57,08:00,08:03,08:06,08:09,08:12,08:17,08:20,08:25,08:28
018-SE,07:15,--:--,07:24,--:--,--:--,--:--,--:--,07:36,--:--,--:--,--:--,07:52,07:55,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
019-SC,07:22,07:28,07:32,07:35,07:37,07:40,07:45,07:53,07:56,08:05,08:08,08:12,08:15,08:18,08:21,08:24,08:27,08:32,08:35,08:40,08:43
020-SE,07:30,--:--,07:39,--:--,--:--,--:--,--:--,07:51,--:--,--:--,--:--,08:07,08:10,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
